year,month,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39,topic_40,topic_41,topic_42,topic_43,topic_44,topic_45,topic_46,topic_47,topic_48,topic_49,topic_50,topic_51,topic_52,topic_53,topic_54,topic_55,topic_56,topic_57,topic_58,topic_59,topic_60,topic_61,topic_62,topic_63,topic_64,topic_65,topic_66,topic_67,topic_68,topic_69,topic_70,topic_71,topic_72,topic_73,topic_74,topic_75,topic_76,topic_77,topic_78,topic_79,topic_80,topic_81,topic_82,topic_83,topic_84,topic_85,topic_86,topic_87,topic_88,topic_89,topic_90,topic_91,topic_92,topic_93,topic_94,topic_95,topic_96,topic_97,topic_98,topic_99
1914,9,0.10795087,0.01793787,0.00031028898,0.00795958,0.18199866,0.0020224745,0.033707634,0.038924962,0.0008557194,0.48974803,0.004189356,8.622795e-05,0.0030312573,0.31957537,0.0021864716,0.5235059,0.03407419,0.010773822,0.052702475,0.13584077,2.4117557e-05,0.015554859,0.00021506422,0.00020368065,0.00044463217,0.26679838,0.0097288275,1.6022546e-05,0.106933095,0.086171016,1.1298153e-05,9.2057e-05,0.0066317404,0.024468848,0.00059763074,0.08564776,0.00032275627,2.7349919e-05,0.008326336,0.0010825308,0.0041202,0.0016677014,0.021841802,0.16667187,0.00046040595,0.0039349557,0.051186938,0.31937918,0.0007157226,0.036873497,0.00028254572,0.120668046,7.12879e-05,0.0007914675,0.0015945289,0.14733286,0.057276335,0.13040994,6.351569e-05,0.0035074053,4.4021952e-05,0.0002257198,0.018408759,0.013177629,0.01181894,0.000531656,0.0005434116,0.013979708,0.00025081745,0.33410272,0.016265184,0.0051391367,0.00048771646,0.0020209795,0.019022016,0.000372064,0.039584644,0.14093828,0.26809958,0.0002482895,0.006040669,0.0006483813,0.1407991,0.00019544535,0.001346482,7.417714e-05,4.6237874e-05,0.0002590978,0.0058327634,0.009954436,0.00036498936,9.4238174e-05,0.0071474,0.00062860065,0.006781595,0.020608164,0.008718757,0.0018501919,0.06349845,0.19031955
1999,8,0.027898658,0.11444427,0.22289905,0.014066006,0.15274927,0.028778192,0.40270683,1.1358865,0.30778328,0.4404713,0.005799051,0.14884923,0.11208102,0.25481483,0.08326842,0.06366127,0.11042505,0.020025278,0.0015662075,0.0362037,0.018992625,0.019323189,0.03410699,0.3152688,0.012882661,0.16186355,0.23083977,0.2080172,0.7892505,0.07244927,0.07318365,0.018409338,0.23281291,0.06893099,0.08579107,0.29355145,0.09510013,0.34689155,0.22134128,0.024028292,0.023761576,0.00012043178,0.012012855,0.041855656,0.00734433,0.16634536,0.0006631392,0.07236277,0.48800644,0.030715488,0.9493385,0.45075706,0.23260793,0.080131486,0.011369134,0.08860297,0.094025224,0.37357095,0.10469968,0.030719833,0.18421543,0.11924297,0.16804115,0.06142291,0.08237424,0.032374874,0.017480657,0.33840558,0.00095200527,0.2983498,0.06282623,0.05240353,0.04030902,0.03329398,0.0021565144,0.07502182,0.0129523305,0.11888147,0.43545848,0.8779775,0.043712396,0.05471498,0.28853142,0.5238126,0.0087999385,0.05923597,0.017061353,0.060149767,0.21778396,0.24500434,0.05968776,0.008274732,0.08573135,0.02852311,0.06418711,0.03781622,1.2549092,0.11085561,0.23860769,0.3120364
1999,9,5.5473533,1.6956482,5.2286963,3.9291136,13.0843725,2.4782183,13.170598,13.548998,9.942325,6.1682653,4.096006,6.59221,6.029814,10.138883,3.83792,6.4602094,10.778841,2.0102367,3.2217498,4.9717536,4.4294944,1.3098865,1.77322,10.522881,7.8687944,8.844895,4.7247615,2.1675136,9.909373,7.7803493,6.505794,2.283327,6.254168,5.8838344,1.7226497,9.844756,3.8739161,5.888688,3.4341574,0.727752,7.9578805,2.5954084,1.3865814,3.5680988,0.66012037,13.310589,2.664182,6.4917107,3.106129,2.584868,19.823633,5.87592,5.2442265,4.5640826,1.2570821,5.333964,5.584422,13.260724,6.2745676,3.1166587,23.969519,4.158824,6.544783,6.9409037,10.868398,3.206898,3.4505513,9.03775,1.3775008,9.034997,2.7874532,3.146359,1.0738769,5.442667,3.3678129,2.5630925,2.0541277,5.9850006,11.680728,16.124756,3.2494643,3.9973924,10.944506,4.988959,3.571214,2.9915142,3.8981502,4.5836453,7.797354,2.5090528,2.6486464,2.5570245,6.015619,0.54755604,4.213085,3.289756,8.970883,3.9676802,7.6456003,6.45463
1999,10,8.798816,1.9450667,4.7390013,3.0128329,15.557234,3.6605732,11.0941,14.143752,13.094957,5.1254315,6.2068677,7.689393,5.443304,10.966067,8.985923,10.71354,11.66815,4.039904,6.4038534,8.472582,3.2397516,1.976113,1.1221478,11.1779175,10.603441,15.906366,5.821694,2.7230113,19.170395,9.597624,5.9424353,2.7364624,3.4915156,5.027762,4.643616,9.65803,5.315218,5.9584746,7.5897675,1.7101256,13.555344,2.3746407,1.3629787,7.410127,2.177711,22.00222,8.618182,16.017794,4.1821,5.9349585,13.724488,9.253687,5.108786,6.07131,2.510773,12.619939,7.5170436,19.711527,5.3049207,8.223462,10.911832,3.2450414,7.6942735,13.262374,9.964328,5.7492476,4.1940475,12.845278,0.730583,11.255564,4.352092,4.8236775,1.1196837,7.127848,3.682801,4.5935683,2.1819685,8.031246,16.904427,11.735209,2.2151775,3.3387563,10.436939,7.3239207,8.613012,4.8845453,3.1367369,4.097959,8.651791,4.8001733,5.6225324,2.6843693,8.084951,1.1105988,4.2561955,5.8725033,8.891537,3.7378492,7.5039973,7.476153
1999,11,9.446501,3.4615643,5.9407077,4.918396,20.917377,5.322709,13.737219,14.888589,12.870699,6.194703,4.0259748,8.853174,7.502884,15.499917,6.1614876,12.083036,19.914656,4.71193,7.860849,8.308376,3.827491,1.3577142,1.5093703,9.233033,16.967102,19.684692,6.260595,3.5194912,21.517872,11.011381,7.3698153,2.863801,7.311297,5.6185174,4.288524,10.67947,7.3777432,7.1877995,9.179078,1.2825726,22.67312,2.330062,1.9172179,7.7528143,1.3232894,26.106047,7.2472177,16.4263,3.7594793,9.272371,19.80244,7.2138624,6.500542,6.1883435,2.0715883,10.744775,11.300097,24.291603,7.89057,7.654884,15.201812,4.3991127,7.4174576,12.564068,15.439714,7.469205,5.759562,14.019925,1.3067876,14.745962,3.4184372,4.878821,1.077147,10.8622055,5.019844,4.0514984,2.4554777,11.450245,17.66396,11.761409,2.8929265,3.465989,17.001724,8.744011,6.81543,5.015158,5.235162,3.650302,8.935479,4.684534,3.785033,2.3338687,10.441639,1.0624921,7.2183776,5.8716626,11.163931,4.515433,10.460239,10.609231
1999,12,8.075111,2.1032784,9.005054,5.000775,18.039543,3.4272645,17.298578,18.07479,11.79297,7.449111,5.041316,8.772233,9.23775,19.67287,4.6930213,13.750667,23.549932,4.2117834,7.1018953,11.543752,4.3464518,1.1575365,1.8111167,11.995586,17.612751,16.530355,8.298004,3.437952,47.064793,16.511707,8.674922,2.0987966,5.212344,6.4942646,3.4069138,15.716454,4.080676,8.70943,10.129801,1.2677977,18.832668,3.9839385,1.7732788,8.29455,1.6412845,24.492163,5.9507256,13.011439,5.8143654,5.1289506,35.5528,7.549453,6.278334,6.4586215,1.3197947,7.2787166,9.870696,21.115116,7.192936,6.46201,19.17969,3.9072478,7.8904076,7.927733,14.421584,6.9882107,3.9074402,13.409441,0.9769365,14.796233,2.913396,4.7588434,0.80830425,10.8160095,5.152025,7.071152,2.483305,15.377639,12.594983,12.264003,3.6805723,4.495375,20.200178,5.4584546,6.4997,5.5857854,2.6100202,4.0270934,9.986818,4.15877,4.010211,2.0737934,11.151443,1.0668728,7.4446287,5.0486717,10.777498,5.0230436,11.28872,13.366595
2000,1,7.5139256,1.2250416,5.1186533,5.253295,17.176191,3.3328032,10.75267,12.613272,7.447913,5.081878,3.1715777,5.739535,5.465221,14.596617,4.0729165,18.64486,20.294798,3.8284626,3.5070374,8.349188,1.4546057,1.7240359,1.5499358,6.9036756,14.551936,13.472381,3.631769,2.1059833,24.284588,9.014817,6.539978,1.7634364,6.539284,4.448619,2.0405266,9.7391815,3.1181087,4.6431704,4.5334725,1.046068,9.437449,2.3741403,1.3821973,6.390601,1.3446187,14.247893,4.385281,8.888258,5.330719,3.4362986,35.303787,7.7924747,5.1663656,4.6644382,1.3980632,6.8811326,6.1684694,16.509937,7.4607496,5.348442,19.521233,3.3375123,6.79286,7.458518,13.138294,4.4264984,2.7993817,9.96035,1.1899276,11.676637,3.1294084,2.3383157,1.3285912,6.9043345,3.0640984,3.1502578,1.7804936,13.511673,9.707578,4.69382,2.7230275,3.5713904,17.197172,4.4079514,5.7297707,2.3702133,3.88691,2.881397,6.363681,3.3305545,3.511176,1.2847418,8.642999,0.78383976,6.4519267,4.7380624,10.1150465,2.679421,8.098775,15.119429
2000,2,11.34842,3.303246,7.442413,5.1848755,20.240257,6.783011,16.512619,17.846003,10.883143,8.974935,7.0778456,10.3015995,8.64935,16.099903,5.132016,18.90946,27.78414,4.8101974,4.4647956,10.648966,5.1545424,2.2083154,3.3285294,16.625921,14.596687,16.993069,7.7440925,4.3608003,27.526926,10.910246,12.197808,4.997074,5.324038,6.4424934,2.7102962,14.251136,6.7062287,9.214322,7.892005,10.534352,15.559168,2.5208688,2.358483,10.811447,1.6790798,16.280853,9.508309,14.528924,7.93113,7.3598733,40.875202,8.786855,9.586073,5.696272,5.412135,13.555869,9.392438,19.129478,11.192824,11.214446,32.51318,4.814654,10.418522,9.631778,15.70602,9.3267975,5.61766,20.200445,1.7130499,14.350324,6.8654704,4.4831734,4.643144,10.302407,5.053315,6.42448,5.723512,12.787985,17.633942,9.37521,3.912919,5.3086023,21.225967,10.411442,8.533811,4.771949,3.5242305,3.2295392,10.557552,7.4314775,7.2482595,2.7691977,12.099699,3.367605,7.380961,7.698816,12.775495,5.1594467,10.129419,18.382738
2000,3,14.569282,3.2710695,9.018363,6.565416,22.221869,6.511925,19.781471,21.244139,14.395394,9.022061,5.946331,10.412889,11.109339,16.14634,5.9633822,19.605011,31.559555,6.017044,6.8064,12.473294,3.912325,2.4944694,2.244638,22.221193,19.047451,19.413649,9.447833,5.921683,43.39063,13.059144,18.189438,3.788217,8.664586,7.5089803,4.8372064,16.917393,5.8900075,10.6047945,10.13346,33.966076,17.856806,2.8662045,2.2316449,9.524549,3.1993403,20.599497,9.995971,19.656342,12.498401,9.85544,75.18169,16.490461,7.5068026,7.8252234,9.600028,13.292172,12.29737,23.370874,13.272307,8.333205,24.870747,5.2643547,11.247689,12.094537,22.723446,12.382258,8.234449,24.235678,2.5448666,17.649487,8.543275,5.9822993,7.898727,10.282203,5.3023114,6.146757,6.1203437,11.331781,18.519785,8.099075,5.899562,8.472935,28.997822,7.070442,7.978178,5.3634143,4.1140666,3.3940566,10.911349,6.841685,7.3639894,3.489011,14.120736,4.6088758,8.384673,9.81408,14.67525,4.3763156,18.302599,20.598837
2000,4,12.303075,3.388881,6.6397443,5.7697024,25.717234,5.6887817,15.659916,21.735567,12.3983,12.427828,6.607939,9.80169,13.935065,18.28386,6.2103395,13.957044,40.128975,4.299338,5.18449,10.373513,5.594216,2.8302722,2.7869687,32.51763,14.519249,20.4762,8.748851,6.4465847,22.400152,14.151614,16.571062,3.247977,10.02691,9.6663,3.3726115,12.750968,7.7790165,8.67226,8.485508,30.473421,17.249147,3.454647,2.0279703,9.60498,2.3394544,17.878557,9.412445,23.32277,13.766701,8.19708,74.20907,15.034045,12.442019,7.0145807,9.8681755,10.91378,11.357393,25.51584,13.375128,12.929381,22.850286,6.1637807,7.236431,14.698494,21.796543,17.101706,6.293171,28.176277,2.033043,13.768992,8.493721,4.9312644,7.0083246,11.03484,4.175895,8.145155,5.457448,14.687002,16.327776,13.70879,7.221965,9.140406,24.631317,7.4685316,7.9969935,4.490353,2.680919,4.6457696,9.214497,8.016719,6.9047303,3.5788603,12.22917,4.034573,8.472491,10.063411,14.016656,4.3952913,15.948237,18.81796
