year,month,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39,topic_40,topic_41,topic_42,topic_43,topic_44,topic_45,topic_46,topic_47,topic_48,topic_49,topic_50,topic_51,topic_52,topic_53,topic_54,topic_55,topic_56,topic_57,topic_58,topic_59,topic_60,topic_61,topic_62,topic_63,topic_64,topic_65,topic_66,topic_67,topic_68,topic_69,topic_70,topic_71,topic_72,topic_73,topic_74,topic_75,topic_76,topic_77,topic_78,topic_79,topic_80,topic_81,topic_82,topic_83,topic_84,topic_85,topic_86,topic_87,topic_88,topic_89,topic_90,topic_91,topic_92,topic_93,topic_94,topic_95,topic_96,topic_97,topic_98,topic_99
1914,9,0.0,0.0,0.0,0.0,0.18199865520000458,0.0,0.0,0.0,0.0,0.4897480309009552,0.0,0.0,0.0,0.31957536935806274,0.0,0.5235059261322021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26679837703704834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16667187213897705,0.0,0.0,0.0,0.31937918066978455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33410272002220154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2680995762348175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19031955301761627
1999,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.135886549949646,0.0,0.4404712915420532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7892504930496216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48800644278526306,0.0,0.9493384957313538,0.45075705647468567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4354584813117981,0.8779774904251099,0.0,0.0,0.0,0.5238125920295715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2549091577529907,0.0,0.0,0.0
1999,9,0.0,0.0,0.0,0.0,13.084372520446777,0.0,13.170598030090332,13.54899787902832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.310588836669922,0.0,0.0,0.0,0.0,19.823633193969727,0.0,0.0,0.0,0.0,0.0,0.0,13.260724067687988,0.0,0.0,23.969518661499023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6807279586792,16.124755859375,0.0,0.0,10.94450569152832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,10,0.0,0.0,0.0,0.0,15.557233810424805,0.0,0.0,14.143752098083496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.906366348266602,0.0,0.0,19.170394897460938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.555343627929688,0.0,0.0,0.0,0.0,22.002220153808594,0.0,16.017793655395508,0.0,0.0,13.724488258361816,0.0,0.0,0.0,0.0,0.0,0.0,19.71152687072754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.90442657470703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,11,0.0,0.0,0.0,0.0,20.917377471923828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.914655685424805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6846923828125,0.0,0.0,21.517871856689453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.673120498657227,0.0,0.0,0.0,0.0,26.106046676635742,0.0,0.0,0.0,0.0,19.802440643310547,0.0,0.0,0.0,0.0,0.0,0.0,24.291603088378906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.663959503173828,0.0,0.0,0.0,17.001724243164062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.07478904724121,0.0,0.0,0.0,0.0,0.0,19.672870635986328,0.0,0.0,23.5499324798584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.06479263305664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.83266830444336,0.0,0.0,0.0,0.0,24.492162704467773,0.0,0.0,0.0,0.0,35.552799224853516,0.0,0.0,0.0,0.0,0.0,0.0,21.115116119384766,0.0,0.0,19.179689407348633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.200178146362305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,1,0.0,0.0,0.0,0.0,17.176191329956055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.596616744995117,0.0,18.644859313964844,20.294797897338867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.284587860107422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.30378723144531,0.0,0.0,0.0,0.0,0.0,0.0,16.509937286376953,0.0,0.0,19.52123260498047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.197172164916992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.119428634643555
2000,2,0.0,0.0,0.0,0.0,20.240257263183594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.909460067749023,27.78413963317871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.526926040649414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.87520217895508,0.0,0.0,0.0,0.0,0.0,0.0,19.129478454589844,0.0,0.0,32.513179779052734,0.0,0.0,0.0,0.0,0.0,0.0,20.2004451751709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.225967407226562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.38273811340332
2000,3,0.0,0.0,0.0,0.0,22.22186851501465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.559555053710938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.390628814697266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.9660758972168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.18168640136719,0.0,0.0,0.0,0.0,0.0,0.0,23.370874404907227,0.0,0.0,24.870746612548828,0.0,0.0,0.0,22.723445892333984,0.0,0.0,24.23567771911621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.997821807861328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,4,0.0,0.0,0.0,0.0,25.717233657836914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.12897491455078,0.0,0.0,0.0,0.0,0.0,0.0,32.51763153076172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.473421096801758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.322769165039062,0.0,0.0,74.20906829833984,0.0,0.0,0.0,0.0,0.0,0.0,25.515840530395508,0.0,0.0,22.85028648376465,0.0,0.0,0.0,0.0,0.0,0.0,28.17627716064453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.631317138671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
